"","Year","State","FedMW","StateMW","StateAbbr"
"306",1973,"North Dakota",1.6,1.6,"ND"
"307",1973,"Ohio",1.6,1.6,"OH"
"308",1973,"Oklahoma",1.6,1.6,"OK"
"309",1973,"Oregon",1.6,1.6,"OR"
"310",1973,"Pennsylvania",1.6,1.6,"PA"
"311",1973,"Puerto Rico",1.6,1.6,NA
"312",1973,"Rhode Island",1.6,1.6,"RI"
"313",1973,"South Carolina",1.6,1.6,"SC"
"314",1973,"South Dakota",1.6,1.6,"SD"
"315",1973,"Tennessee",1.6,1.6,"TN"
"316",1973,"Texas",1.6,1.6,"TX"
"317",1973,"U.S. Virgin Islands",1.6,1.6,NA
"318",1973,"Utah",1.6,1.6,"UT"
"319",1973,"Vermont",1.6,1.6,"VT"
"320",1973,"Virginia",1.6,1.6,"VA"
"321",1973,"Washington",1.6,1.6,"WA"
"322",1973,"West Virginia",1.6,1.6,"WV"
"323",1973,"Wisconsin",1.6,1.6,"WI"
"324",1973,"Wyoming",1.6,1.6,"WY"
"325",1974,"Alabama",1.6,1.6,"AL"
"326",1974,"Alaska",1.6,2.1,"AK"
"327",1974,"Arizona",1.6,1.6,"AZ"
"328",1974,"Arkansas",1.6,1.6,"AR"
"329",1974,"California",1.6,1.65,"CA"
"330",1974,"Colorado",1.6,1.6,"CO"
"331",1974,"Connecticut",1.6,1.85,"CT"
"332",1974,"Delaware",1.6,1.6,"DE"
"333",1974,"District of Columbia",1.6,1.6,NA
"334",1974,"Florida",1.6,1.6,"FL"
"335",1974,"Georgia",1.6,1.6,"GA"
"336",1974,"Guam",1.6,1.9,NA
"337",1974,"Hawaii",1.6,1.6,"HI"
"338",1974,"Idaho",1.6,1.6,"ID"
"339",1974,"Illinois",1.6,1.6,"IL"
"340",1974,"Indiana",1.6,1.6,"IN"
"341",1974,"Iowa",1.6,1.6,"IA"
"342",1974,"Kansas",1.6,1.6,"KS"
"343",1974,"Kentucky",1.6,1.6,"KY"
"344",1974,"Louisiana",1.6,1.6,"LA"
"345",1974,"Maine",1.6,1.6,"ME"
"346",1974,"Maryland",1.6,1.6,"MD"
"347",1974,"Massachusetts",1.6,1.75,"MA"
"348",1974,"Michigan",1.6,1.6,"MI"
"349",1974,"Minnesota",1.6,1.6,"MN"
"350",1974,"Mississippi",1.6,1.6,"MS"
"351",1974,"Missouri",1.6,1.6,"MO"
"352",1974,"Montana",1.6,1.6,"MT"
"353",1974,"Nebraska",1.6,1.6,"NE"
"354",1974,"Nevada",1.6,1.6,"NV"
"355",1974,"New Hampshire",1.6,1.6,"NH"
"356",1974,"New Jersey",1.6,1.6,"NJ"
"357",1974,"New Mexico",1.6,1.6,"NM"
"358",1974,"New York",1.6,1.85,"NY"
"359",1974,"North Carolina",1.6,1.6,"NC"
"360",1974,"North Dakota",1.6,1.6,"ND"
"361",1974,"Ohio",1.6,1.6,"OH"
"362",1974,"Oklahoma",1.6,1.6,"OK"
"363",1974,"Oregon",1.6,1.6,"OR"
"364",1974,"Pennsylvania",1.6,1.6,"PA"
"365",1974,"Puerto Rico",1.6,1.6,NA
"366",1974,"Rhode Island",1.6,1.6,"RI"
"367",1974,"South Carolina",1.6,1.6,"SC"
"368",1974,"South Dakota",1.6,1.6,"SD"
"369",1974,"Tennessee",1.6,1.6,"TN"
"370",1974,"Texas",1.6,1.6,"TX"
"371",1974,"U.S. Virgin Islands",1.6,1.6,NA
"372",1974,"Utah",1.6,1.6,"UT"
"373",1974,"Vermont",1.6,1.6,"VT"
"374",1974,"Virginia",1.6,1.6,"VA"
"375",1974,"Washington",1.6,1.6,"WA"
"376",1974,"West Virginia",1.6,1.6,"WV"
"377",1974,"Wisconsin",1.6,1.6,"WI"
"378",1974,"Wyoming",1.6,1.6,"WY"
"379",1975,"Alabama",1.6,1.6,"AL"
"380",1975,"Alaska",1.6,2.1,"AK"
"381",1975,"Arizona",1.6,1.6,"AZ"
"382",1975,"Arkansas",1.6,1.6,"AR"
"383",1975,"California",1.6,1.65,"CA"
"384",1975,"Colorado",1.6,1.6,"CO"
"385",1975,"Connecticut",1.6,1.85,"CT"
"386",1975,"Delaware",1.6,1.6,"DE"
"387",1975,"District of Columbia",1.6,1.6,NA
"388",1975,"Florida",1.6,1.6,"FL"
"389",1975,"Georgia",1.6,1.6,"GA"
"390",1975,"Guam",1.6,1.9,NA
"391",1975,"Hawaii",1.6,1.6,"HI"
"392",1975,"Idaho",1.6,1.6,"ID"
"393",1975,"Illinois",1.6,1.6,"IL"
"394",1975,"Indiana",1.6,1.6,"IN"
"395",1975,"Iowa",1.6,1.6,"IA"
"396",1975,"Kansas",1.6,1.6,"KS"
"397",1975,"Kentucky",1.6,1.6,"KY"
"398",1975,"Louisiana",1.6,1.6,"LA"
"399",1975,"Maine",1.6,1.6,"ME"
"400",1975,"Maryland",1.6,1.6,"MD"
"401",1975,"Massachusetts",1.6,1.75,"MA"
"402",1975,"Michigan",1.6,1.6,"MI"
"403",1975,"Minnesota",1.6,1.6,"MN"
"404",1975,"Mississippi",1.6,1.6,"MS"
"405",1975,"Missouri",1.6,1.6,"MO"
"406",1975,"Montana",1.6,1.6,"MT"
"407",1975,"Nebraska",1.6,1.6,"NE"
"408",1975,"Nevada",1.6,1.6,"NV"
"409",1975,"New Hampshire",1.6,1.6,"NH"
"410",1975,"New Jersey",1.6,1.6,"NJ"
"411",1975,"New Mexico",1.6,1.6,"NM"
"412",1975,"New York",1.6,1.85,"NY"
"413",1975,"North Carolina",1.6,1.6,"NC"
"414",1975,"North Dakota",1.6,1.6,"ND"
"415",1975,"Ohio",1.6,1.6,"OH"
"416",1975,"Oklahoma",1.6,1.6,"OK"
"417",1975,"Oregon",1.6,1.6,"OR"
"418",1975,"Pennsylvania",1.6,1.6,"PA"
"419",1975,"Puerto Rico",1.6,1.6,NA
"420",1975,"Rhode Island",1.6,1.6,"RI"
"421",1975,"South Carolina",1.6,1.6,"SC"
"422",1975,"South Dakota",1.6,1.6,"SD"
"423",1975,"Tennessee",1.6,1.6,"TN"
"424",1975,"Texas",1.6,1.6,"TX"
"425",1975,"U.S. Virgin Islands",1.6,1.6,NA
"426",1975,"Utah",1.6,1.6,"UT"
"427",1975,"Vermont",1.6,1.6,"VT"
"428",1975,"Virginia",1.6,1.6,"VA"
"429",1975,"Washington",1.6,1.6,"WA"
"430",1975,"West Virginia",1.6,1.6,"WV"
"431",1975,"Wisconsin",1.6,1.6,"WI"
"432",1975,"Wyoming",1.6,1.6,"WY"
"433",1976,"Alabama",2.2,2.2,"AL"
"434",1976,"Alaska",2.2,2.8,"AK"
"435",1976,"Arizona",2.2,2.2,"AZ"
"436",1976,"Arkansas",2.2,2.2,"AR"
"437",1976,"California",2.2,2.2,"CA"
"438",1976,"Colorado",2.2,2.2,"CO"
"439",1976,"Connecticut",2.2,2.21,"CT"
"440",1976,"Delaware",2.2,2.2,"DE"
"441",1976,"District of Columbia",2.2,2.25,NA
"442",1976,"Florida",2.2,2.2,"FL"
"443",1976,"Georgia",2.2,2.2,"GA"
"444",1976,"Guam",2.2,2.3,NA
"445",1976,"Hawaii",2.2,2.4,"HI"
"446",1976,"Idaho",2.2,2.2,"ID"
"447",1976,"Illinois",2.2,2.2,"IL"
"448",1976,"Indiana",2.2,2.2,"IN"
"449",1976,"Iowa",2.2,2.2,"IA"
"450",1976,"Kansas",2.2,2.2,"KS"
"451",1976,"Kentucky",2.2,2.2,"KY"
"452",1976,"Louisiana",2.2,2.2,"LA"
"453",1976,"Maine",2.2,2.3,"ME"
"454",1976,"Maryland",2.2,2.2,"MD"
"455",1976,"Massachusetts",2.2,2.2,"MA"
"456",1976,"Michigan",2.2,2.2,"MI"
"457",1976,"Minnesota",2.2,2.2,"MN"
"458",1976,"Mississippi",2.2,2.2,"MS"
"459",1976,"Missouri",2.2,2.2,"MO"
"460",1976,"Montana",2.2,2.2,"MT"
"461",1976,"Nebraska",2.2,2.2,"NE"
"462",1976,"Nevada",2.2,2.2,"NV"
"463",1976,"New Hampshire",2.2,2.2,"NH"
"464",1976,"New Jersey",2.2,2.2,"NJ"
"465",1976,"New Mexico",2.2,2.2,"NM"
"466",1976,"New York",2.2,2.3,"NY"
"467",1976,"North Carolina",2.2,2.2,"NC"
"468",1976,"North Dakota",2.2,2.2,"ND"
"469",1976,"Ohio",2.2,2.2,"OH"
"470",1976,"Oklahoma",2.2,2.2,"OK"
"471",1976,"Oregon",2.2,2.3,"OR"
"472",1976,"Pennsylvania",2.2,2.2,"PA"
"473",1976,"Puerto Rico",2.2,2.2,NA
"474",1976,"Rhode Island",2.2,2.3,"RI"
"475",1976,"South Carolina",2.2,2.2,"SC"
"476",1976,"South Dakota",2.2,2.2,"SD"
"477",1976,"Tennessee",2.2,2.2,"TN"
"478",1976,"Texas",2.2,2.2,"TX"
"479",1976,"U.S. Virgin Islands",2.2,2.2,NA
"480",1976,"Utah",2.2,2.2,"UT"
"481",1976,"Vermont",2.2,2.3,"VT"
"482",1976,"Virginia",2.2,2.2,"VA"
"483",1976,"Washington",2.2,2.2,"WA"
"484",1976,"West Virginia",2.2,2.2,"WV"
"485",1976,"Wisconsin",2.2,2.2,"WI"
"486",1976,"Wyoming",2.2,2.2,"WY"
"487",1977,"Alabama",2.2,2.2,"AL"
"488",1977,"Alaska",2.2,2.8,"AK"
"489",1977,"Arizona",2.2,2.2,"AZ"
"490",1977,"Arkansas",2.2,2.2,"AR"
"491",1977,"California",2.2,2.2,"CA"
"492",1977,"Colorado",2.2,2.2,"CO"
"493",1977,"Connecticut",2.2,2.21,"CT"
"494",1977,"Delaware",2.2,2.2,"DE"
"495",1977,"District of Columbia",2.2,2.25,NA
"496",1977,"Florida",2.2,2.2,"FL"
"497",1977,"Georgia",2.2,2.2,"GA"
"498",1977,"Guam",2.2,2.3,NA
"499",1977,"Hawaii",2.2,2.4,"HI"
"500",1977,"Idaho",2.2,2.2,"ID"
"501",1977,"Illinois",2.2,2.2,"IL"
"502",1977,"Indiana",2.2,2.2,"IN"
"503",1977,"Iowa",2.2,2.2,"IA"
"504",1977,"Kansas",2.2,2.2,"KS"
"505",1977,"Kentucky",2.2,2.2,"KY"
"506",1977,"Louisiana",2.2,2.2,"LA"
"507",1977,"Maine",2.2,2.3,"ME"
"508",1977,"Maryland",2.2,2.2,"MD"
"509",1977,"Massachusetts",2.2,2.2,"MA"
"510",1977,"Michigan",2.2,2.2,"MI"
"511",1977,"Minnesota",2.2,2.2,"MN"
"512",1977,"Mississippi",2.2,2.2,"MS"
"513",1977,"Missouri",2.2,2.2,"MO"
"514",1977,"Montana",2.2,2.2,"MT"
"515",1977,"Nebraska",2.2,2.2,"NE"
"516",1977,"Nevada",2.2,2.2,"NV"
"517",1977,"New Hampshire",2.2,2.2,"NH"
"518",1977,"New Jersey",2.2,2.2,"NJ"
"519",1977,"New Mexico",2.2,2.2,"NM"
"520",1977,"New York",2.2,2.3,"NY"
"521",1977,"North Carolina",2.2,2.2,"NC"
"522",1977,"North Dakota",2.2,2.2,"ND"
"523",1977,"Ohio",2.2,2.2,"OH"
"524",1977,"Oklahoma",2.2,2.2,"OK"
"525",1977,"Oregon",2.2,2.3,"OR"
"526",1977,"Pennsylvania",2.2,2.2,"PA"
"527",1977,"Puerto Rico",2.2,2.2,NA
"528",1977,"Rhode Island",2.2,2.3,"RI"
"529",1977,"South Carolina",2.2,2.2,"SC"
"530",1977,"South Dakota",2.2,2.2,"SD"
"531",1977,"Tennessee",2.2,2.2,"TN"
"532",1977,"Texas",2.2,2.2,"TX"
"533",1977,"U.S. Virgin Islands",2.2,2.2,NA
"534",1977,"Utah",2.2,2.2,"UT"
"535",1977,"Vermont",2.2,2.3,"VT"
"536",1977,"Virginia",2.2,2.2,"VA"
"537",1977,"Washington",2.2,2.2,"WA"
"538",1977,"West Virginia",2.2,2.2,"WV"
"539",1977,"Wisconsin",2.2,2.2,"WI"
"540",1977,"Wyoming",2.2,2.2,"WY"
"541",1978,"Alabama",2.2,2.2,"AL"
"542",1978,"Alaska",2.2,2.8,"AK"
"543",1978,"Arizona",2.2,2.2,"AZ"
"544",1978,"Arkansas",2.2,2.2,"AR"
"545",1978,"California",2.2,2.2,"CA"
"546",1978,"Colorado",2.2,2.2,"CO"
