"","State","date","price"
"233","Connecticut","2000-05-31",113172.93191929
"234","Utah","2000-05-31",116825.085542507
"235","Iowa","2000-05-31",63973.5081892474
"236","Nevada","2000-05-31",109304.877146602
"237","Arkansas","2000-05-31",49446.3392072793
"238","Mississippi","2000-05-31",NA
"239","Kansas","2000-05-31",46080.1281823027
"240","New Mexico","2000-05-31",NA
"241","Nebraska","2000-05-31",67417.6825268246
"242","Idaho","2000-05-31",78701.2026166312
"243","West Virginia","2000-05-31",37757.3992091525
"244","Hawaii","2000-05-31",143549.832265481
"245","New Hampshire","2000-05-31",98330.464631832
"246","Maine","2000-05-31",84232.9683662947
"247","Rhode Island","2000-05-31",104377.153273324
"248","Montana","2000-05-31",NA
"249","Delaware","2000-05-31",98284.276277163
"250","South Dakota","2000-05-31",NA
"251","North Dakota","2000-05-31",NA
"252","Alaska","2000-05-31",96543.3889326975
"253","District of Columbia","2000-05-31",149707.029693182
"254","Vermont","2000-05-31",84342.6419232744
"255","Wyoming","2000-05-31",NA
"256","California","2000-06-30",145744.953337372
"257","Texas","2000-06-30",57827.8867844022
"258","Florida","2000-06-30",74851.3517900416
"259","New York","2000-06-30",99031.1446943661
"260","Pennsylvania","2000-06-30",65301.4969319087
"261","Illinois","2000-06-30",78346.077051667
"262","Ohio","2000-06-30",64604.8423858413
"263","Georgia","2000-06-30",67094.5328189843
"264","North Carolina","2000-06-30",76792.865514624
"265","Michigan","2000-06-30",72465.2242823334
"266","New Jersey","2000-06-30",117121.734781
"267","Virginia","2000-06-30",75939.4345962164
"268","Washington","2000-06-30",127248.829892307
"269","Arizona","2000-06-30",105816.115327813
"270","Massachusetts","2000-06-30",149743.897662746
"271","Tennessee","2000-06-30",67119.3891876502
"272","Indiana","2000-06-30",55530.0873414317
"273","Maryland","2000-06-30",94104.7124235769
"274","Missouri","2000-06-30",55661.3624308741
"275","Wisconsin","2000-06-30",84638.7668819047
"276","Colorado","2000-06-30",125825.012148491
"277","Minnesota","2000-06-30",95827.4389441494
"278","South Carolina","2000-06-30",74193.8115197157
"279","Alabama","2000-06-30",54245.7553890866
"280","Louisiana","2000-06-30",65097.5099154172
"281","Kentucky","2000-06-30",56199.3247233571
"282","Oregon","2000-06-30",105297.460480553
"283","Oklahoma","2000-06-30",32023.6584610932
"284","Connecticut","2000-06-30",113828.534371288
"285","Utah","2000-06-30",117818.128687826
"286","Iowa","2000-06-30",64213.1000042841
"287","Nevada","2000-06-30",109728.928948834
"288","Arkansas","2000-06-30",49617.1069693298
"289","Mississippi","2000-06-30",NA
"290","Kansas","2000-06-30",46189.5994903557
"291","New Mexico","2000-06-30",NA
"292","Nebraska","2000-06-30",67482.8865630871
"293","Idaho","2000-06-30",78972.849216069
"294","West Virginia","2000-06-30",37873.2384627849
"295","Hawaii","2000-06-30",144374.634293259
"296","New Hampshire","2000-06-30",99053.1004815381
"297","Maine","2000-06-30",84791.521642313
"298","Rhode Island","2000-06-30",105259.709979945
"299","Montana","2000-06-30",NA
"300","Delaware","2000-06-30",98856.0127709369
"301","South Dakota","2000-06-30",NA
"302","North Dakota","2000-06-30",NA
"303","Alaska","2000-06-30",96696.4524921418
"304","District of Columbia","2000-06-30",151358.178394745
"305","Vermont","2000-06-30",84713.8747046547
"306","Wyoming","2000-06-30",NA
"307","California","2000-07-31",147626.005967592
"308","Texas","2000-07-31",57806.4675437568
"309","Florida","2000-07-31",75246.2440032209
"310","New York","2000-07-31",99556.2882432895
"311","Pennsylvania","2000-07-31",65540.4726091998
"312","Illinois","2000-07-31",78791.5802661471
"313","Ohio","2000-07-31",64932.6737278501
"314","Georgia","2000-07-31",67601.0726355249
"315","North Carolina","2000-07-31",77103.472127755
"316","Michigan","2000-07-31",72979.5954138957
"317","New Jersey","2000-07-31",118100.069920375
"318","Virginia","2000-07-31",76267.5472680242
"319","Washington","2000-07-31",127938.642859406
"320","Arizona","2000-07-31",106249.45253928
"321","Massachusetts","2000-07-31",151315.515822261
"322","Tennessee","2000-07-31",67268.673930916
"323","Indiana","2000-07-31",55610.37046217
"324","Maryland","2000-07-31",94552.3364680533
"325","Missouri","2000-07-31",55941.4191777742
"326","Wisconsin","2000-07-31",85099.0142948368
"327","Colorado","2000-07-31",127244.370628335
"328","Minnesota","2000-07-31",96875.3783133054
"329","South Carolina","2000-07-31",74510.6483437776
"330","Alabama","2000-07-31",54528.4028431989
"331","Louisiana","2000-07-31",65405.5118323849
"332","Kentucky","2000-07-31",56389.269142022
"333","Oregon","2000-07-31",105657.225719411
"334","Oklahoma","2000-07-31",32195.203436107
"335","Connecticut","2000-07-31",114531.19474236
"336","Utah","2000-07-31",118861.020168596
"337","Iowa","2000-07-31",64453.0968746025
"338","Nevada","2000-07-31",110046.571410927
"339","Arkansas","2000-07-31",49871.2983336645
"340","Mississippi","2000-07-31",NA
"341","Kansas","2000-07-31",46280.0474391862
"342","New Mexico","2000-07-31",NA
"343","Nebraska","2000-07-31",67511.7786795948
"344","Idaho","2000-07-31",79222.8009331826
"345","West Virginia","2000-07-31",38029.3860798657
"346","Hawaii","2000-07-31",145283.070536796
"347","New Hampshire","2000-07-31",100029.166305589
"348","Maine","2000-07-31",85394.706086614
"349","Rhode Island","2000-07-31",106123.471572238
"350","Montana","2000-07-31",NA
