"","State","date","price"
"451","Rhode Island","2000-09-30",139732.762860339
"452","Montana","2000-09-30",NA
"453","Delaware","2000-09-30",142010.584433651
"454","South Dakota","2000-09-30",93721.8730575365
"455","North Dakota","2000-09-30",NA
"456","Alaska","2000-09-30",129555.377599509
"457","District of Columbia","2000-09-30",181206.552676775
"458","Vermont","2000-09-30",94919.1223139046
"459","Wyoming","2000-09-30",NA
"460","California","2000-10-31",210044.180849186
"461","Texas","2000-10-31",108327.31354617
"462","Florida","2000-10-31",115549.990920699
"463","New York","2000-10-31",134365.535921988
"464","Pennsylvania","2000-10-31",94108.6759259292
"465","Illinois","2000-10-31",121964.271428501
"466","Ohio","2000-10-31",103027.114197665
"467","Georgia","2000-10-31",122327.264042599
"468","North Carolina","2000-10-31",125341.413860939
"469","Michigan","2000-10-31",106393.256611661
"470","New Jersey","2000-10-31",169316.846359455
"471","Virginia","2000-10-31",124676.30684415
"472","Washington","2000-10-31",183008.514617646
"473","Arizona","2000-10-31",138822.518278859
"474","Massachusetts","2000-10-31",215850.421450918
"475","Tennessee","2000-10-31",98131.6035617599
"476","Indiana","2000-10-31",94502.4856355513
"477","Maryland","2000-10-31",150102.776506399
"478","Missouri","2000-10-31",91595.4087335609
"479","Wisconsin","2000-10-31",111896.789753664
"480","Colorado","2000-10-31",194986.089266787
"481","Minnesota","2000-10-31",128060.650505795
"482","South Carolina","2000-10-31",106927.502494305
"483","Alabama","2000-10-31",81291.4872865092
"484","Louisiana","2000-10-31",89491.0433877756
"485","Kentucky","2000-10-31",83203.6345809746
"486","Oregon","2000-10-31",154321.679639983
"487","Oklahoma","2000-10-31",74953.4193853526
"488","Connecticut","2000-10-31",180709.677739696
"489","Utah","2000-10-31",176625.992741733
"490","Iowa","2000-10-31",80879.8950068263
"491","Nevada","2000-10-31",169243.170191099
"492","Arkansas","2000-10-31",72493.6738444438
"493","Mississippi","2000-10-31",71671.6983363527
"494","Kansas","2000-10-31",75871.2929498704
"495","New Mexico","2000-10-31",NA
"496","Nebraska","2000-10-31",111660.480720268
"497","Idaho","2000-10-31",121670.04744794
